UT,PY,DOI
WOS:000254939600003,2008.0,10.1007/s11192-007-1825-6
WOS:000252808500003,2008.0,10.1007/s11192-008-0213-1
WOS:000223177700005,2004.0,10.1023/B:SCIE.0000037363.49623.28
WOS:000188424200007,2004.0,
WOS:000686089100002,2021.0,10.1007/s11192-021-04126-3
WOS:000664849500008,2021.0,10.1007/s11192-021-04063-1
WOS:000625725800012,2021.0,10.1007/s11192-021-03920-3
WOS:000624407500002,2021.0,10.1007/s11192-021-03894-2
WOS:000621730600002,2021.0,10.1007/s11192-021-03868-4
WOS:000618580600002,2021.0,10.1007/s11192-020-03827-5
WOS:000531002500001,2020.0,10.1007/s11192-020-03455-z
WOS:000524648900001,2020.0,10.1007/s11192-020-03437-1
WOS:000511927600010,2020.0,10.1007/s11192-019-03326-2
WOS:000507794700001,2020.0,10.1007/s11192-019-03340-4
WOS:000490369400003,2019.0,10.1007/s11192-019-03233-6
WOS:000485943600009,2019.0,10.1007/s11192-019-03204-x
WOS:000464901100004,2019.0,10.1007/s11192-019-03053-8
WOS:000442007200023,2018.0,10.1007/s11192-018-2824-5
WOS:000419397900018,2018.0,10.1007/s11192-017-2567-8
WOS:000415715100034,2017.0,10.1007/s11192-017-2487-7
WOS:000412920200028,2017.0,10.1007/s11192-017-2490-z
WOS:000412920200018,2017.0,10.1007/s11192-017-2499-3
WOS:000405275500019,2017.0,10.1007/s11192-017-2405-z
WOS:000403466900004,2017.0,10.1007/s11192-017-2377-z
WOS:000394339500026,2017.0,10.1007/s11192-016-2228-3
WOS:000394339500025,2017.0,10.1007/s11192-016-2216-7
WOS:000376273700006,2016.0,10.1007/s11192-016-1891-8
WOS:000376273700005,2016.0,10.1007/s11192-016-1895-4
WOS:000369017300006,2016.0,10.1007/s11192-015-1792-2
WOS:000359143200001,2015.0,10.1007/s11192-015-1632-4
WOS:000334277800011,2014.0,10.1007/s11192-013-1227-x
WOS:000331559800003,2014.0,10.1007/s11192-013-1154-x
WOS:000320401500004,2013.0,10.1007/s11192-013-0952-5
WOS:000318807000012,2013.0,10.1007/s11192-012-0928-x
WOS:000310230400009,2012.0,10.1007/s11192-012-0680-2
WOS:000307517500007,2012.0,10.1007/s11192-011-0570-z
WOS:000297708000016,2012.0,10.1007/s11192-011-0498-3
WOS:000292210400011,2011.0,10.1007/s11192-011-0397-7
WOS:000283090300004,2010.0,10.1007/s11192-010-0215-7
WOS:000276499500013,2010.0,10.1007/s11192-009-0011-4
WOS:000265778100008,2009.0,10.1007/s11192-009-0421-3
WOS:000261950000001,2008.0,10.1007/s11192-007-1968-5
WOS:000220003600005,2004.0,10.1023/B:SCIE.0000018531.24886.00
WOS:000710334600005,2021.0,10.1007/s11192-021-04191-8
WOS:000705740400001,2021.0,10.1007/s11192-021-04147-y
WOS:000671640200006,2021.0,10.1007/s11192-021-04094-8
WOS:000644380300005,2021.0,10.1007/s11192-021-03957-4
WOS:000571691800007,2020.0,10.1007/s11192-020-03706-z
WOS:000559304800006,2020.0,10.1007/s11192-020-03646-8
WOS:000556168300006,2020.0,10.1007/s11192-020-03643-x
WOS:000549661600001,2020.0,10.1007/s11192-020-03614-2
WOS:000539665900002,2020.0,10.1007/s11192-020-03502-9
WOS:000529892100030,2020.0,10.1007/s11192-019-03283-w
WOS:000517111200029,2020.0,10.1007/s11192-019-03301-x
WOS:000485943600010,2019.0,10.1007/s11192-019-03199-5
WOS:000481434200015,2019.0,10.1007/s11192-019-03157-1
WOS:000477044700004,2019.0,10.1007/s11192-019-03018-x
WOS:000471656400005,2019.0,10.1007/s11192-019-03110-2
WOS:000464901100018,2019.0,10.1007/s11192-019-03065-4
WOS:000456290600018,2019.0,10.1007/s11192-018-2960-y
WOS:000442737700027,2018.0,10.1007/s11192-018-2876-6
WOS:000426807700010,2018.0,10.1007/s11192-018-2667-0
WOS:000426807700001,2018.0,10.1007/s11192-017-2622-5
WOS:000415715100021,2017.0,10.1007/s11192-017-2521-9
WOS:000415715100007,2017.0,10.1007/s11192-017-2539-z
WOS:000406497200019,2017.0,10.1007/s11192-017-2438-3
WOS:000403466900030,2017.0,10.1007/s11192-017-2367-1
WOS:000389336100013,2016.0,10.1007/s11192-016-2132-x
WOS:000382915800013,2016.0,10.1007/s11192-016-2043-x
WOS:000379346000011,2016.0,10.1007/s11192-016-1985-3
WOS:000376273700010,2016.0,10.1007/s11192-016-1905-6
WOS:000363261600004,2015.0,10.1007/s11192-015-1731-2
WOS:000350337000019,2015.0,10.1007/s11192-014-1512-3
WOS:000347297400036,2015.0,10.1007/s11192-014-1370-z
WOS:000335905000003,2014.0,10.1007/s11192-014-1239-1
WOS:000331559800047,2014.0,10.1007/s11192-013-1164-8
WOS:000330622600027,2014.0,10.1007/s11192-013-1062-0
WOS:000323437400013,2013.0,10.1007/s11192-012-0940-1
WOS:000321852600004,2013.0,10.1007/s11192-012-0890-7
WOS:000306547000013,2012.0,10.1007/s11192-012-0660-6
WOS:000284888600015,2011.0,10.1007/s11192-010-0240-6
WOS:000280947400010,2010.0,10.1007/s11192-010-0234-4
WOS:000268881700018,2009.0,10.1007/s11192-009-2130-0
WOS:000266914500008,2009.0,10.1007/s11192-007-2032-1
WOS:000706623700002,2021.0,10.1007/s11192-021-04171-y
WOS:000686089100008,2021.0,10.1007/s11192-021-04120-9
WOS:000651351500002,2021.0,10.1007/s11192-021-04042-6
WOS:000644380300031,2021.0,10.1007/s11192-021-03982-3
WOS:000625725800003,2021.0,10.1007/s11192-021-03907-0
WOS:000604808200004,2021.0,10.1007/s11192-020-03790-1
WOS:000591014900001,2021.0,10.1007/s11192-020-03744-7
WOS:000585801800001,2021.0,10.1007/s11192-020-03737-6
WOS:000569300100007,2020.0,10.1007/s11192-020-03674-4
WOS:000537676800007,2020.0,10.1007/s11192-020-03504-7
WOS:000534949200001,2020.0,10.1007/s11192-020-03512-7
WOS:000516001300004,2020.0,10.1007/s11192-020-03366-z
WOS:000495302900022,2019.0,10.1007/s11192-019-03257-y
