UT,PY,DOI
WOS:000419397900013,2018.0,10.1007/s11192-017-2582-9
WOS:000415715100005,2017.0,10.1007/s11192-017-2548-y
WOS:000415715100015,2017.0,10.1007/s11192-017-2502-z
WOS:000412920200015,2017.0,10.1007/s11192-017-2497-5
WOS:000406497200035,2017.0,10.1007/s11192-017-2446-3
WOS:000406497200029,2017.0,10.1007/s11192-017-2456-1
WOS:000405275500010,2017.0,10.1007/s11192-017-2416-9
WOS:000405275500005,2017.0,10.1007/s11192-017-2409-8
WOS:000403466900031,2017.0,10.1007/s11192-017-2333-y
WOS:000403466900002,2017.0,10.1007/s11192-017-2387-x
WOS:000403466900014,2017.0,10.1007/s11192-017-2395-x
WOS:000403466900019,2017.0,10.1007/s11192-017-2293-2
WOS:000403466900017,2017.0,10.1007/s11192-017-2388-9
WOS:000401747900015,2017.0,10.1007/s11192-017-2287-0
WOS:000401747900016,2017.0,10.1007/s11192-017-2288-z
WOS:000399871500014,2017.0,10.1007/s11192-017-2266-5
WOS:000398770700012,2017.0,10.1007/s11192-017-2269-2
WOS:000394339500008,2017.0,10.1007/s11192-016-2234-5
WOS:000394148300011,2017.0,10.1007/s11192-016-2175-z
WOS:000394148300024,2017.0,10.1007/s11192-016-2191-z
WOS:000393748300026,2017.0,10.1007/s11192-016-2107-y
WOS:000393748300018,2017.0,10.1007/s11192-016-2169-x
WOS:000393748300003,2017.0,10.1007/s11192-016-2157-1
WOS:000389336100002,2016.0,10.1007/s11192-016-2131-y
WOS:000386373000039,2016.0,10.1007/s11192-016-2111-2
WOS:000382915800024,2016.0,10.1007/s11192-016-1961-y
WOS:000379346000004,2016.0,10.1007/s11192-015-1822-0
WOS:000373187000012,2016.0,10.1007/s11192-016-1902-9
WOS:000373187000007,2016.0,10.1007/s11192-016-1844-2
WOS:000368075800022,2016.0,10.1007/s11192-015-1649-8
WOS:000365130100019,2015.0,10.1007/s11192-015-1622-6
WOS:000365130100037,2015.0,10.1007/s11192-015-1754-8
WOS:000365130100008,2015.0,10.1007/s11192-015-1728-x
WOS:000363261600036,2015.0,10.1007/s11192-015-1739-7
WOS:000355948600007,2015.0,10.1007/s11192-015-1599-1
WOS:000354489600007,2015.0,10.1007/s11192-015-1572-z
WOS:000352995000001,2015.0,10.1007/s11192-015-1557-y
WOS:000351546100003,2015.0,10.1007/s11192-015-1535-4
WOS:000350337000006,2015.0,10.1007/s11192-014-1493-2
WOS:000347297400034,2015.0,10.1007/s11192-014-1421-5
WOS:000342228300035,2014.0,10.1007/s11192-014-1383-7
WOS:000331559800032,2014.0,10.1007/s11192-013-1178-2
WOS:000331559800029,2014.0,10.1007/s11192-013-1158-6
WOS:000330622600016,2014.0,10.1007/s11192-013-1066-9
WOS:000330622600011,2014.0,10.1007/s11192-013-1115-4
WOS:000330622600024,2014.0,10.1007/s11192-013-1182-6
WOS:000330622600014,2014.0,10.1007/s11192-013-1039-z
WOS:000327219900006,2013.0,10.1007/s11192-013-1038-0
WOS:000320401500021,2013.0,10.1007/s11192-012-0941-0
WOS:000320401500023,2013.0,10.1007/s11192-013-0953-4
WOS:000318807000015,2013.0,10.1007/s11192-012-0895-2
WOS:000318807000009,2013.0,10.1007/s11192-013-0965-0
WOS:000316046000002,2013.0,10.1007/s11192-012-0816-4
WOS:000313711500012,2013.0,10.1007/s11192-012-0756-z
WOS:000313711500002,2013.0,10.1007/s11192-012-0859-6
WOS:000303533600015,2012.0,10.1007/s11192-012-0646-4
WOS:000300325800004,2012.0,10.1007/s11192-011-0549-9
WOS:000300325800016,2012.0,10.1007/s11192-011-0560-1
WOS:000297708000012,2012.0,10.1007/s11192-011-0515-6
WOS:000297708000018,2012.0,10.1007/s11192-011-0518-3
WOS:000294839200009,2011.0,10.1007/s11192-011-0436-4
WOS:000292210200001,2011.0,10.1007/s11192-011-0376-z
WOS:000286627500015,2011.0,10.1007/s11192-010-0320-7
WOS:000284888600010,2011.0,10.1007/s11192-010-0271-z
WOS:000284888600016,2011.0,10.1007/s11192-010-0288-3
WOS:000283090300003,2010.0,10.1007/s11192-010-0286-5
WOS:000282048200009,2010.0,10.1007/s11192-010-0266-9
WOS:000275417400012,2010.0,10.1007/s11192-009-0074-2
WOS:000274111600011,2010.0,10.1007/s11192-009-0053-7
WOS:000274111600002,2010.0,10.1007/s11192-009-0008-z
WOS:000273950900003,2010.0,10.1007/s11192-009-0055-5
WOS:000271989600018,2009.0,10.1007/s11192-008-2255-9
WOS:000265778100002,2009.0,10.1007/s11192-009-0415-1
WOS:000263155900010,2009.0,10.1007/s11192-007-1953-z
WOS:000263155900005,2009.0,10.1007/s11192-007-2044-x
WOS:000262686700002,2009.0,10.1007/s11192-007-2005-4
WOS:000256779500011,2008.0,10.1007/s11192-007-1886-6
WOS:000252808500004,2008.0,10.1007/s11192-008-0214-0
WOS:000246373000011,2007.0,10.1007/s11192-007-1698-8
WOS:000245453300007,2007.0,10.1007/s11192-007-1666-3
WOS:000235904000004,2006.0,10.1556/Scient.67.2006.1.4
WOS:000240477000002,2006.0,10.1007/s11192-006-0136-7
WOS:000240477000006,2006.0,10.1007/s11192-006-0140-y
WOS:000240477000003,2006.0,10.1007/s11192-006-0137-6
WOS:000220003600006,2004.0,10.1023/B:SCIE.0000018532.70146.02
WOS:000221389600002,2004.0,10.1023/B:SCIE.0000027675.69901.5b
